iter	Passed	Remaining
0	5	5026
1	11	5590
2	15	5159
3	20	4989
4	26	5183
5	30	5036
6	35	5046
7	41	5099
8	47	5246
9	52	5150
10	57	5192
11	64	5292
12	70	5332
13	80	5660
14	86	5673
15	94	5794
16	98	5673
17	108	5924
18	116	6024
19	129	6338
20	135	6306
21	146	6516
22	164	6968
23	178	7278
24	189	7375
25	210	7885
26	223	8061
27	234	8131
28	245	8212
29	258	8352
30	273	8539
31	280	8471
32	290	8499
33	293	8342
34	304	8382
35	309	8298
36	319	8321
37	325	8243
38	336	8287
39	341	8198
40	350	8192
41	355	8112
42	363	8090
43	369	8035
44	374	7937
45	382	7923
46	386	7830
47	390	7740
48	399	7757
49	405	7703
50	413	7699
51	418	7626
52	422	7552
53	429	7527
54	434	7459
55	438	7392
56	445	7377
57	450	7311
58	454	7245
59	461	7230
60	465	7166
61	469	7105
62	476	7092
63	484	7087
64	490	7062
65	495	7013
66	500	6976
67	506	6941
68	510	6893
69	515	6844
70	519	6795
71	525	6770
72	529	6726
73	533	6681
74	539	6658
75	544	6619
76	548	6577
77	555	6560
78	559	6518
79	563	6478
80	567	6438
81	574	6437
82	579	6404
83	585	6383
84	590	6353
85	594	6319
86	598	6284
87	605	6277
88	610	6244
89	614	6211
90	620	6202
91	625	6173
92	629	6142
93	635	6124
94	639	6094
95	644	6064
96	648	6036
97	654	6021
98	658	5992
99	662	5961
100	669	5954
101	674	5935
102	678	5907
103	684	5897
104	688	5872
105	693	5845
106	699	5835
107	703	5814
108	708	5788
109	713	5775
110	718	5751
111	722	5728
112	726	5703
113	734	5708
114	738	5685
115	742	5661
116	749	5654
117	753	5632
118	757	5605
119	763	5599
120	767	5577
121	769	5541
122	774	5519
123	780	5514
124	785	5501
125	790	5479
126	796	5472
127	800	5455
128	805	5435
129	810	5424
130	814	5404
131	818	5385
132	822	5364
133	829	5359
134	834	5344
135	838	5327
136	844	5322
137	849	5304
138	853	5287
139	861	5291
140	866	5278
141	871	5265
142	883	5294
143	887	5276
144	894	5271
145	896	5244
146	900	5227
147	906	5217
148	910	5201
149	915	5185
150	919	5168
151	925	5160
152	929	5144
153	933	5128
154	939	5120
155	943	5106
156	948	5090
157	952	5077
158	957	5063
159	961	5048
160	965	5033
161	971	5026
162	976	5016
163	981	5001
164	987	4995
165	991	4982
166	995	4966
167	999	4951
168	1005	4945
169	1010	4931
170	1014	4916
171	1019	4910
172	1025	4900
173	1029	4887
174	1035	4881
175	1039	4868
176	1044	4854
177	1048	4842
178	1053	4830
179	1057	4817
180	1061	4805
181	1068	4801
182	1072	4787
183	1077	4778
184	1084	4777
185	1089	4768
186	1094	4757
187	1100	4755
188	1105	4742
189	1109	4729
190	1115	4725
191	1120	4716
192	1125	4706
193	1134	4714
194	1140	4709
195	1147	4708
196	1151	4692
197	1156	4685
198	1163	4682
199	1167	4670
200	1172	4659
201	1177	4653
202	1184	4650
203	1189	4640
204	1195	4637
205	1202	4633
206	1214	4653
207	1223	4660
208	1238	4686
209	1254	4717
